2016-05-06 22:36:36,624 [Worker-15] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' D:\backup\Java-Training-Lab\NewsManagmentSystem\pom.xml
2016-05-06 22:36:49,349 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.itsupportme:NewsManagmentSystem:0.0.1-SNAPSHOT @ D:\backup\Java-Training-Lab\NewsManagmentSystem\pom.xml.
2016-05-06 22:36:55,237 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /NewsManagmentSystem/src/main/java
2016-05-06 22:36:55,238 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /NewsManagmentSystem/src/main/resources
2016-05-06 22:36:55,239 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /NewsManagmentSystem/src/test/java
2016-05-06 22:37:17,837 [Worker-15] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 40 sec
2016-05-06 22:37:22,515 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-06 22:37:22,657 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-06 22:37:22,666 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-06 22:37:22,667 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\backup\Java-Training-Lab\NewsManagmentSystem\src\test\resources
2016-05-06 22:39:20,800 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-06 22:39:20,803 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-06 22:39:20,805 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-06 22:39:20,806 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\backup\Java-Training-Lab\NewsManagmentSystem\src\test\resources
2016-05-06 22:40:35,346 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-05-06 22:41:26,787 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\backup\Java-Training-Lab\NewsManagmentSystem
2016-05-06 22:41:26,787 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B -Dmaven.test.skip=true -DskipTests clean install
2016-05-06 22:42:19,452 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-06 22:42:19,455 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
